file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_digbib_1892-2.tsv	jupiter	Marlitt,_Eugenie_Die_zwoelf_Apostel.tg121_1.xml	1865	1860	digbib	Die zwölf Apostel	Marlitt, Eugenie	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1897-1.tsv	jupiter	Meier,_Ernst_16__Der_Raeuber_Matthes.tg23_1.xml	1852	1850	digbib	16.Der Räuber Matthes	Meier, Ernst	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1967-1.tsv	jupiter	Meyer,_Conrad_Ferdinand_Das_Amulett.tg330_1.xml	1873	1870	digbib	Das Amulett	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1992-1.tsv	jupiter	Meyrink,_Gustav_Der_Albino.tg90_1.xml	1913	1910	digbib	Der Albino	Meyrink, Gustav	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2012-1.tsv	jupiter	Meyrink,_Gustav_Hilligenlei.tg64_1.xml	1913	1910	digbib	Hilligenlei	Meyrink, Gustav	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_2025-1.tsv	jupiter	Meysenbug,_Malwida_Freiin_von_Der_Pfad_der_Aebtissin.tg8_1.xml	1907	1900	digbib	Der Pfad der Äbtissin	Meysenbug, Malwida Freiin von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2027-1.tsv	jupiter	Meysenbug,_Malwida_Freiin_von_Zu_spaet.tg9_1.xml	1907	1900	digbib	Zu spät	Meysenbug, Malwida Freiin von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2028-3.tsv	jupiter	Moellhausen,_Balduin_Die_Mandanenwaise.tg4_1.xml	1865	1860	digbib	Die Mandanenwaise	Möllhausen, Balduin	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2031-1.tsv	jupiter	Moerike,_Eduard_Mozart_auf_der_Reise_nach_Prag.tg264_1.xml	1855	1850	digbib	Mozart auf der Reise nach Prag	Mörike, Eduard	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_2396-1.tsv	jupiter	Muellenhoff,_Karl_611__Die_alte_Kittelkittelkarre.tg753_1.xml	1845	1840	digbib	611.Die alte Kittelkittelkarre	Müllenhoff, Karl	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_2450-1.tsv	jupiter	Panizza,_Oskar_Der_Goldregen.tg57_1.xml	1893	1890	digbib	Der Goldregen	Panizza, Oskar	yes	Erzähltext	yes	yes_DS	first	chevron
rwk1_digbib_2462-1.tsv	jupiter	Poe,_Edgar_Allan_Das_Geheimnis_der_Marie_Rog_t.tg48_1.xml	1842	1840	digbib	Das Geheimnis der Marie Rogêt	Poe, Edgar Allan	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2466-1.tsv	jupiter	Poe,_Edgar_Allan_Der_entwendete_Brief.tg55_1.xml	1845	1840	digbib	Der entwendete Brief	Poe, Edgar Allan	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2607-1.tsv	jupiter	Proehle,_Heinrich_76__Das_Schiff__das_auf_dem_trockenen_Lande_geht.tg92_1.xml	1853	1850	digbib	76.Das Schiff,das auf dem trockenen Lande geht	Pröhle, Heinrich	yes	Erzähltext	yes	no	third	none
rwk1_digbib_2618-1.tsv	jupiter	Proehle,_Heinrich_9__Von_dem_Schaaf__das_eine_Koenigstochter_trug.tg110_1.xml	1854	1850	digbib	9.Von dem Schaaf,das eine Königstochter trug	Pröhle, Heinrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3247-1.tsv	jupiter	Wildermuth,_Ottilie_5__Der_alte_Frey.tg10_1.xml	1847	1840	digbib	5.Der alte Frey	Wildermuth, Ottilie	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2622-1.tsv	jupiter	Raabe,_Wilhelm_Die_Gaense_von_Buetzow.tg229_1.xml	1866	1860	digbib	Die Gänse von Bützow	Raabe, Wilhelm	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2650-1.tsv	jupiter	Riehl,_Wilhelm_Heinrich_von_Der_Stadtpfeifer.tg6_1.xml	1862	1860	digbib	Der Stadtpfeifer	Riehl, Wilhelm Heinrich von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2624-1.tsv	jupiter	Raabe,_Wilhelm_Else_von_der_Tanne.tg228_1.xml	1865	1860	digbib	Else von der Tanne	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	none
rwk1_digbib_2625-2.tsv	jupiter	Raabe,_Wilhelm_Frau_Salome.tg243_1.xml	1875	1870	digbib	Frau Salome	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2626-1.tsv	jupiter	Raabe,_Wilhelm_Hastenbeck.tg283_1.xml	1899	1890	digbib	Hastenbeck	Raabe, Wilhelm	yes	Erzähltext	yes	no	unsure	none
rwk1_digbib_2626-2.tsv	jupiter	Raabe,_Wilhelm_Hastenbeck.tg283_1.xml	1899	1890	digbib	Hastenbeck	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2628-2.tsv	jupiter	Reventlow,_Franziska_Graefin_zu_Das_allerjuengste_Gericht.tg86_1.xml	1897	1890	digbib	Das allerjüngste Gericht	Reventlow, Franziska Gräfin zu	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2671-1.tsv	jupiter	Rosegger,_Peter_Waldheimat__Erzaehlungen_aus_der_Jugendzeit.tg27_1_113.xml	1877	1870	digbib	Die Winternacht auf dem Stuhleck.	Rosegger, Peter	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2650-2.tsv	jupiter	Riehl,_Wilhelm_Heinrich_von_Der_Stadtpfeifer.tg6_1.xml	1862	1860	digbib	Der Stadtpfeifer	Riehl, Wilhelm Heinrich von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3303-1.tsv	jupiter	Wolf,_Johann_Wilhelm_Das_weisse_Hemd__das_schwere_Schwert_und_der_goldene_Ring.tg21_1.xml	1851	1850	digbib	Das weiße Hemd, das schwere Schwert und der goldene Ring	Wolf, Johann Wilhelm	yes	Erzähltext	yes	no	third	chevron_single
rwk1_digbib_2692-1.tsv	jupiter	Rosegger,_Peter_Waldheimat__Erzaehlungen_aus_der_Jugendzeit.tg27_1_132.xml	1877	1870	digbib	Der Waldbauer, dieser Dodel!	Rosegger, Peter	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2701-1.tsv	jupiter	Rosegger,_Peter_Waldheimat__Erzaehlungen_aus_der_Jugendzeit.tg27_1_18.xml	1877	1870	digbib	Dem Anderl sein Tabakgeld.	Rosegger, Peter	yes	Erzähltext	yes	no	first	chevron none
rwk1_digbib_2801-3.tsv	jupiter	Saar,_Ferdinand_von_Die_Pfruendner.tg371_1.xml	1906	1900	digbib	Die Pfründner	Saar, Ferdinand von	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_2802-1.tsv	jupiter	Saar,_Ferdinand_von_Die_Steinklopfer.tg197_1.xml	1877	1870	digbib	Die Steinklopfer	Saar, Ferdinand von	yes	Erzähltext	yes	no	third	chevron
