sample	annotator	earth	mars	mercury	neptune	pluto	jupiter	saturn	uranus	venus
rwk_digbib_3021-1.tsv	2		x					x		
rwk_digbib_3027-1.tsv	2		x				x			
rwk_digbib_3027-2.tsv	2		x					x		
rwk_digbib_3030-1.tsv	2						x	x		
rwk_digbib_3034-1.tsv	2		x					x		
rwk_digbib_3038-1.tsv	2			x				x		
rwk_digbib_3039-1.tsv	2		x					x		
rwk_digbib_3039-2.tsv	2		x	x						
rwk_digbib_3056-1.tsv	2			x				x		
rwk_digbib_3076-1.tsv	2		x					x		
rwk_digbib_3090-1.tsv	2							x	x	
rwk_digbib_3101-1.tsv	2		x	x						
rwk_digbib_3104-1.tsv	2						x	x		
rwk_digbib_3109-1.tsv	2						x	x		
rwk_digbib_3111-1.tsv	2							x	x	
rwk_digbib_3117-1.tsv	2		x	x						
rwk_digbib_3125-1.tsv	2		x					x		
rwk_digbib_3126-1.tsv	2						x	x		
rwk_digbib_3130-1.tsv	2						x	x		
rwk_digbib_3130-2.tsv	2		x	x						
rwk_digbib_3131-1.tsv	2						x	x		
rwk_digbib_3131-2.tsv	2		x					x		
rwk_digbib_3132-1.tsv	2		x					x		
rwk_digbib_3132-2.tsv	2			x					x	
rwk_digbib_3136-1.tsv	2						x	x		
rwk_digbib_3137-1.tsv	2							x	x	
rwk_digbib_3143-2.tsv	2		x					x		
rwk_digbib_3145-1.tsv	2						x	x		
rwk_digbib_3146-1.tsv	2		x					x		
rwk_digbib_3147-1.tsv	2						x	x		
rwk_digbib_3151-1.tsv	2		x					x		
rwk_digbib_3153-1.tsv	2		x					x		
rwk_digbib_3159-1.tsv	2		x					x		
rwk_digbib_3161-1.tsv	2			x				x		
rwk_digbib_3163-1.tsv	2						x	x		
rwk_digbib_3164-1.tsv	2		x	x						
rwk_digbib_3166-1.tsv	2	x					x			
rwk_digbib_3167-1.tsv	2	x					x			
rwk_digbib_3167-2.tsv	2						x	x		
rwk_digbib_3168-2.tsv	2		x				x			
rwk_digbib_3173-1.tsv	2			x				x		
rwk_digbib_3183-2.tsv	2		x					x		
rwk_digbib_3183-3.tsv	2			x				x		
rwk_digbib_3185-1.tsv	2							x	x	
rwk_digbib_3186-1.tsv	2		x					x		
rwk_digbib_3186-2.tsv	2						x	x		
rwk_digbib_3187-1.tsv	2		x	x						
rwk_digbib_3188-2.tsv	2							x	x	
rwk_digbib_3198-1.tsv	2		x					x		
rwk_digbib_3199-1.tsv	2			x				x		
rwk_digbib_3202-1.tsv	2						x	x		
rwk_digbib_3208-1.tsv	2		x				x			
rwk_digbib_3211-1.tsv	2						x	x		
rwk_digbib_3212-1.tsv	2						x	x		
rwk_digbib_3212-2.tsv	2			x					x	
rwk_digbib_3213-1.tsv	2						x	x		
rwk_digbib_3213-2.tsv	2			x				x		
rwk_digbib_3215-1.tsv	2			x				x		
rwk_digbib_3216-1.tsv	2						x	x		
rwk_digbib_3219-1.tsv	2						x	x		
rwk_digbib_3219-2.tsv	2		x				x			
rwk_digbib_3220-1.tsv	2						x	x		
rwk_digbib_3220-2.tsv	2		x				x			
rwk_digbib_3220-3.tsv	2			x				x		
rwk_digbib_3230-1.tsv	2		x					x		
rwk_digbib_3242-1.tsv	2	x					x			
rwk_digbib_3244-1.tsv	2		x				x			
rwk_digbib_3247-1.tsv	2						x	x		
rwk_digbib_3251-1.tsv	2		x					x		
rwk_digbib_3252-1.tsv	2			x					x	
rwk_digbib_3269-1.tsv	2						x	x		
rwk_digbib_3280-1.tsv	2	x					x			
rwk_digbib_3286-1.tsv	2			x				x		
rwk_digbib_3303-1.tsv	2	x					x			
rwk_digbib_3304-1.tsv	2			x					x	
rwk_digbib_3338-1.tsv	2						x	x		
rwk_digbib_3343-1.tsv	2		x				x			
rwk_digbib_384-1.tsv	2			x				x		
rwk_digbib_517-1.tsv	2		x						x	
rwk_digbib_622-1.tsv	2	x					x			
rwk_digbib_633-1.tsv	2						x			x
rwk_digbib_660-1.tsv	2	x					x			
rwk_digbib_787-1.tsv	2						x			x
rwk_digbib_855-1.tsv	2		x						x	
rwk_digbib_930-1.tsv	2	x					x			
rwk_digbib_934-2.tsv	2		x						x	
rwk_digbib_935-1.tsv	1						x			
rwk_digbib_936-1.tsv	2						x			x
rwk_digbib_945-1.tsv	2			x					x	
rwk_digbib_946-1.tsv	2	x					x			
rwk_digbib_981-1.tsv	2	x					x			
rwk_grenz_10402-1.tsv	2	x					x			
rwk_grenz_10605-1.tsv	2			x				x		
rwk_grenz_10762-1.tsv	2						x	x		
rwk_grenz_10819-1.tsv	2			x					x	
rwk_grenz_10959-1.tsv	2	x					x			
rwk_grenz_1108-1.tsv	2						x	x		
rwk_grenz_11238-1.tsv	2	x					x			
rwk_grenz_11238-2.tsv	2						x		x	
rwk_grenz_1140-1.tsv	2						x	x		
rwk_grenz_11530-1.tsv	2						x		x	
rwk_grenz_11760-1.tsv	2			x					x	
rwk_grenz_11903-1.tsv	2	x					x			
rwk_grenz_12190-1.tsv	2						x		x	
rwk_grenz_12200-1.tsv	2						x	x		
rwk_grenz_12266-1.tsv	2		x					x		
rwk_grenz_12289-1.tsv	2		x					x		
rwk_grenz_12346-1.tsv	2		x					x		
rwk_grenz_12920-1.tsv	2			x				x		
rwk_grenz_1322-1.tsv	2	x					x			
rwk_grenz_13462-1.tsv	2	x					x			
rwk_grenz_13812-1.tsv	2			x				x		
rwk_grenz_13858-1.tsv	2						x		x	
rwk_grenz_13947-1.tsv	2	x					x			
rwk_grenz_14432-1.tsv	2						x		x	
rwk_grenz_14699-1.tsv	2	x					x			
rwk_grenz_14802-1.tsv	2			x					x	
rwk_grenz_1482-1.tsv	2	x					x			
rwk_grenz_14861-1.tsv	2			x					x	
rwk_grenz_14935-1.tsv	2	x					x			
rwk_grenz_15007-1.tsv	2						x	x		
rwk_grenz_15360-1.tsv	2						x	x		
rwk_grenz_15484-1.tsv	2			x				x		
rwk_grenz_15490-1.tsv	2			x					x	
rwk_grenz_15654-1.tsv	2						x	x		
rwk_grenz_15834-1.tsv	2						x	x		
rwk_grenz_1591-1.tsv	2	x					x			
rwk_grenz_16046-1.tsv	2						x		x	
rwk_grenz_16079-1.tsv	2			x				x		
rwk_grenz_1618-1.tsv	2			x					x	
rwk_grenz_16257-1.tsv	2	x					x			
rwk_grenz_16296-1.tsv	2			x					x	
rwk_grenz_16351-1.tsv	2	x					x			
rwk_grenz_16524-1.tsv	2	x					x			
rwk_grenz_16588-1.tsv	2						x	x		
rwk_grenz_16828-1.tsv	2						x		x	
rwk_grenz_16935-1.tsv	2						x	x		
rwk_grenz_17048-1.tsv	2						x	x		
rwk_grenz_17349-1.tsv	2			x				x		
rwk_grenz_17383-1.tsv	2						x	x		
rwk_grenz_17626-1.tsv	2						x	x		
rwk_grenz_18070-1.tsv	2	x					x			
rwk_grenz_18080-1.tsv	2			x					x	
rwk_grenz_18315-1.tsv	2		x				x			
rwk_grenz_18324-1.tsv	2		x				x			
rwk_grenz_18324-2.tsv	2						x	x		
rwk_grenz_18522-1.tsv	2		x					x		
rwk_grenz_18701-1.tsv	2						x	x		
rwk_grenz_19033-1.tsv	2		x					x		
rwk_grenz_19164-1.tsv	2		x					x		
rwk_grenz_1920-1.tsv	2			x					x	
rwk_grenz_19209-1.tsv	2	x					x			
rwk_grenz_19300-1.tsv	2						x	x		
rwk_grenz_19331-1.tsv	2			x					x	
rwk_grenz_19520-1.tsv	2	x					x			
rwk_grenz_19716-1.tsv	2						x	x		
rwk_grenz_19836-1.tsv	2	x					x			
rwk_grenz_200-1.tsv	2			x					x	
rwk_grenz_20079-1.tsv	2						x	x		
rwk_grenz_20204-1.tsv	2		x					x		
rwk_grenz_20517-1.tsv	2						x	x		
rwk_grenz_20816-1.tsv	2		x					x		
rwk_grenz_20829-1.tsv	2		x					x		
rwk_grenz_20961-1.tsv	2		x					x		
rwk_grenz_20988-1.tsv	2						x	x		
rwk_grenz_21002-1.tsv	2		x					x		
rwk_grenz_21102-1.tsv	2	x					x			
rwk_grenz_21204-1.tsv	2			x				x		
rwk_grenz_21346-1.tsv	2		x					x		
rwk_grenz_21469-1.tsv	2		x				x			
rwk_grenz_21534-1.tsv	2	x					x			
rwk_grenz_21780-1.tsv	2		x					x		
rwk_grenz_21900-1.tsv	2			x				x		
rwk_grenz_21969-1.tsv	2		x				x			
rwk_grenz_21976-1.tsv	2		x				x			
rwk_grenz_22075-1.tsv	2			x				x		
rwk_grenz_22091-1.tsv	2			x					x	
rwk_grenz_22136-1.tsv	2			x					x	
rwk_grenz_22414-1.tsv	2							x	x	
rwk_grenz_22456-1.tsv	2			x				x		
rwk_grenz_22484-1.tsv	2		x				x			
rwk_grenz_2262-1.tsv	2	x					x			
rwk_grenz_22637-1.tsv	2	x					x			
rwk_grenz_23014-1.tsv	2		x				x			
rwk_grenz_23276-1.tsv	2	x					x			
rwk_grenz_23388-1.tsv	2		x					x		
rwk_grenz_23465-1.tsv	2			x				x		
rwk_grenz_23586-1.tsv	2	x					x			
rwk_grenz_24-1.tsv	2	x					x			
rwk_grenz_24-2.tsv	2		x				x			
rwk_grenz_24314-1.tsv	2		x					x		
rwk_grenz_24351-1.tsv	2	x					x			
rwk_grenz_2481-1.tsv	2	x					x			
