file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_digbib_1891-1.xmi	saturn	Marlitt,_Eugenie_Blaubart.tg122_1.xml	1866	1860	digbib	Blaubart	Marlitt, Eugenie	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1892-1.xmi	saturn	Marlitt,_Eugenie_Die_zwoelf_Apostel.tg121_1.xml	1865	1860	digbib	Die zwölf Apostel	Marlitt, Eugenie	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1966-1.xmi	saturn	Meyer,_Conrad_Ferdinand_Angela_Borgia.tg421_1.xml	1891	1890	digbib	Angela Borgia	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1868-1.xmi	saturn	Leskov,_Semenovic_Nikolaj_Der_versiegelte_Engel.tg43_1.xml	1873	1870	digbib	Der versiegelte Engel	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1868-2.xmi	saturn	Leskov,_Semenovic_Nikolaj_Der_versiegelte_Engel.tg43_1.xml	1873	1870	digbib	Der versiegelte Engel	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2027-2.xmi	saturn	Meysenbug,_Malwida_Freiin_von_Zu_spaet.tg9_1.xml	1907	1900	digbib	Zu spät	Meysenbug, Malwida Freiin von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2387-1.xmi	saturn	Muellenhoff,_Karl_603__Die_duemmste_Frau.tg745_1.xml	1845	1840	digbib	603.Die dümmste Frau	Müllenhoff, Karl	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2444-1.xmi	saturn	Mueller,_Robert_Irmelin_Rose.tg39_1.xml	1914	1910	digbib	Irmelin Rose	Müller, Robert	yes	Erzähltext	yes	no	third	none
rwk1_digbib_2444-2.xmi	saturn	Mueller,_Robert_Irmelin_Rose.tg39_1.xml	1914	1910	digbib	Irmelin Rose	Müller, Robert	yes	Erzähltext	yes	no	third	none
rwk1_digbib_2444-3.xmi	saturn	Mueller,_Robert_Irmelin_Rose.tg39_1.xml	1914	1910	digbib	Irmelin Rose	Müller, Robert	yes	Erzähltext	yes	no	third	none
rwk1_digbib_2445-1.xmi	saturn	Panizza,_Oskar_Aus_dem_Tagebuch_eines_Hundes.tg46_1.xml	1892	1890	digbib	Aus dem Tagebuch eines Hundes	Panizza, Oskar	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_2451-1.xmi	saturn	Panizza,_Oskar_Der_operirte_Jud_.tg55_1.xml	1893	1890	digbib	Der operirte Jud'	Panizza, Oskar	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_2462-1.xmi	saturn	Poe,_Edgar_Allan_Das_Geheimnis_der_Marie_Rog_t.tg48_1.xml	1842	1840	digbib	Das Geheimnis der Marie Rogêt	Poe, Edgar Allan	yes	Erzähltext	yes	no	first	chevron
