file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_digbib_2030-1.tsv	mercury	Moerike,_Eduard_Die_Hand_der_Jezerte.tg267_1.xml	1853	1850	digbib	Die Hand der Jezerte	Mörike, Eduard	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2392-1.tsv	mercury	Muellenhoff,_Karl_608__Das_Maerchen_vom_Kupferberg__Silberberg_und_Goldberg.tg750_1.xml	1845	1840	digbib	608. Das Märchen vom Kupferberg, Silberberg und Goldberg	Müllenhoff, Karl	yes	Erzähltext	yes	yes	third	chevron
rwk1_digbib_2455-1.tsv	mercury	Panizza,_Oskar_Eine_Mondgeschichte.tg44_1.xml	1890	1890	digbib	Eine Mondgeschichte	Panizza, Oskar	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2469-1.tsv	mercury	Poe,_Edgar_Allan_Die_Maske_des_roten_Todes.tg47_1.xml	1842	1840	digbib	Die Maske des roten Todes	Poe, Edgar Allan	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_2564-1.tsv	mercury	Proehle,_Heinrich_49__Der_gelehrige_Dieb.tg61_1.xml	1853	1850	digbib	49. Der gelehrige Dieb	Pröhle, Heinrich	yes	Erzähltext	yes	no	third	ascii none
rwk1_digbib_2621-3.tsv	mercury	Raabe,_Wilhelm_Das_Odfeld.tg256_1.xml	1889	1880	digbib	Das Odfeld	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2623-2.tsv	mercury	Raabe,_Wilhelm_Die_schwarze_Galeere.tg221_1.xml	1861	1860	digbib	Die schwarze Galeere	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2625-3.tsv	mercury	Raabe,_Wilhelm_Frau_Salome.tg243_1.xml	1875	1870	digbib	Frau Salome	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2626-3.tsv	mercury	Raabe,_Wilhelm_Hastenbeck.tg283_1.xml	1899	1890	digbib	Hastenbeck	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2626-4.tsv	mercury	Raabe,_Wilhelm_Hastenbeck.tg283_1.xml	1899	1890	digbib	Hastenbeck	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2638-1.tsv	mercury	Reventlow,_Franziska_Graefin_zu_Ein_Bekenntnis.tg81_1.xml	1894	1890	digbib	Ein Bekenntnis	Reventlow, Franziska Gräfin zu	yes	Erzähltext	yes	no	third	other
rwk1_digbib_2653-1.tsv	mercury	Riehl,_Wilhelm_Heinrich_von_Graefin_Ursula.tg29_1.xml	1862	1860	digbib	Gräfin Ursula	Riehl, Wilhelm Heinrich von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2701-2.tsv	mercury	Rosegger,_Peter_Waldheimat__Erzaehlungen_aus_der_Jugendzeit.tg27_1_18.xml	1877	1870	digbib	Dem Anderl sein Tabakgeld	Rosegger, Peter	yes	Erzähltext	yes	no	first	chevron none
rwk1_digbib_2812-1.tsv	mercury	Saar,_Ferdinand_von_Leutnant_Burda.tg215_1.xml	1877	1870	digbib	Leutnant Burda	Saar, Ferdinand von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2817-1.tsv	mercury	Saar,_Ferdinand_von_Sappho.tg361_1.xml	1906	1900	digbib	Sappho	Saar, Ferdinand von	yes	Erzähltext	yes	no	unsure	chevron other
rwk1_digbib_2823-3.tsv	mercury	Sacher-Masoch,_Leopold_von_Don_Juan_von_Kolomea.tg4_1.xml	1866	1860	digbib	Don Juanvon Kolomea	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	no	first	none
rwk1_digbib_2823-4.tsv	mercury	Sacher-Masoch,_Leopold_von_Don_Juan_von_Kolomea.tg4_1.xml	1866	1860	digbib	Don Juanvon Kolomea	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	no	first	none
rwk1_digbib_2824-3.tsv	mercury	Sacher-Masoch,_Leopold_von_Venus_im_Pelz.tg5_1.xml	1870	1870	digbib	Venus im Pelz	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2958-1.tsv	mercury	Schambach,_Georg_5__Das_klingende_und_singende_Blatt.tg631_1.xml	1855	1850	digbib	5. Das klingende und singende Blatt	Schambach, Georg	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_2996-1.tsv	mercury	Schnitzler,_Arthur_Casanovas_Heimfahrt.tg333_1.xml	1918	1910	digbib	Casanovas Heimfahrt	Schnitzler, Arthur	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_3005-1.tsv	mercury	Schnitzler,_Arthur_Der_Tod_des_Junggesellen.tg297_1.xml	1908	1900	digbib	Der Tod des Junggesellen	Schnitzler, Arthur	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3020-1.tsv	mercury	Schnitzler,_Arthur_Er_wartet_auf_den_vazierenden_Gott.tg231_1.xml	1886	1880	digbib	Er wartet auf den vazierenden Gott	Schnitzler, Arthur	yes	Erzähltext	yes	no	first	none
rwk1_digbib_3038-1.tsv	mercury	Sealsfield,_Charles_Ein_Morgen_im_Paradiese.tg29_1.xml	1841	1840	digbib	Ein Morgen im Paradiese	Sealsfield, Charles	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3039-2.tsv	mercury	Sealsfield,_Charles_Havanna_1816.tg27_1.xml	1841	1840	digbib	Havanna 1816	Sealsfield, Charles	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3056-1.tsv	mercury	Sommer,_Emil_32__Moench.tg38_1.xml	1846	1840	digbib	32. Mönch	Sommer, Emil	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_3101-1.tsv	mercury	Spiegel,_Karl_24__Des_Koenigs_Schatzkammer.tg38_1.xml	1914	1910	digbib	24. Des Königs Schatzkammer	Spiegel, Karl	yes	Erzähltext	yes	no	third	chevron other
rwk1_digbib_3117-1.tsv	mercury	Stifter,_Adalbert_Bergkristall.tg139_1.xml	1845	1840	digbib	Bergkristall	Stifter, Adalbert	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3130-2.tsv	mercury	Stifter,_Adalbert_Kalkstein.tg137_1.xml	1848	1840	digbib	Kalkstein	Stifter, Adalbert	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_3132-2.tsv	mercury	Stifter,_Adalbert_Nachkommenschaften.tg142_1.xml	1864	1860	digbib	Nachkommenschaften	Stifter, Adalbert	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_3161-1.tsv	mercury	Storm,_Theodor_Immensee.tg200_1.xml	1850	1850	digbib	Immensee	Storm, Theodor	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3164-1.tsv	mercury	Storm,_Theodor_Im_Saal.tg199_1.xml	1848	1840	digbib	Im Saal	Storm, Theodor	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_3173-1.tsv	mercury	Storm,_Theodor_Se_dohn_sick_wat_to_gude.tg262_1.xml	1919	1910	digbib	Sedohnsickwattogude	Storm, Theodor	yes	Erzähltext	yes	yes_DS	unsure	chevron
rwk1_digbib_3183-3.tsv	mercury	Sudermann,_Hermann_Miks_Bumbullis.tg210_1.xml	1917	1910	digbib	Miks Bumbullis	Sudermann, Hermann	yes	Erzähltext	yes	no	third	chevron
