file	year	decade	source	title	author	fictional	text_type
rwk_digbib_3151-1.xmi	1879	1870	digbib	Eekenhof	Storm, Theodor	yes	Erzähltext
rwk_digbib_3153-1.xmi	1867	1860	digbib	Eine Malerarbeit	Storm, Theodor	yes	Erzähltext
rwk_digbib_3159-1.xmi	1882	1880	digbib	Hans und Heinz Kirch	Storm, Theodor	yes	Erzähltext
rwk_digbib_3163-1.xmi	1875	1870	digbib	Im Nachbarhause links	Storm, Theodor	yes	Erzähltext
rwk_digbib_3166-1.xmi	1868	1860	digbib	In St. Jürgen	Storm, Theodor	yes	Erzähltext
rwk_digbib_3167-1.xmi	1885	1880	digbib	John Riew'	Storm, Theodor	yes	Erzähltext
rwk_digbib_3167-2.xmi	1885	1880	digbib	John Riew'	Storm, Theodor	yes	Erzähltext
rwk_digbib_3168-2.xmi	1848	1840	digbib	Marthe und ihre Uhr	Storm, Theodor	yes	Erzähltext
rwk_digbib_3183-2.xmi	1917	1910	digbib	Miks Bumbullis	Sudermann, Hermann	yes	Erzähltext
rwk_digbib_3185-1.xmi	1906	1900	digbib	Aus goldenem Kelch. Maria Magdalena	Trakl, Georg	yes	Erzähltext
rwk_digbib_3186-1.xmi	1906	1900	digbib	Traumland. Eine Episode	Trakl, Georg	yes	Erzähltext
rwk_digbib_3186-2.xmi	1906	1900	digbib	Traumland. Eine Episode	Trakl, Georg	yes	Erzähltext
rwk_digbib_3188-2.xmi	1856	1850	digbib	Faust. Erzählung in neun Briefen	Turgenev, Ivan Sergeeviç	yes	Erzähltext
rwk_digbib_3198-1.xmi	1850	1850	digbib	Die Fee Langeweile	Ungern-Sternberg, Alexander von	yes	Erzähltext
rwk_digbib_3202-1.xmi	1850	1850	digbib	Die verhüllte Fee	Ungern-Sternberg, Alexander von	yes	Erzähltext
rwk_digbib_3208-1.xmi	1875	1870	digbib	Die Blockade-Brecher	Verne, Jules	yes	Erzähltext
rwk_digbib_3211-1.xmi	1875	1870	digbib	Undefined	Verne, Jules	yes	Erzähltext
rwk_digbib_3212-1.xmi	1857	1850	digbib	Ein Drama in Mexico	Verne, Jules	yes	Erzähltext
rwk_digbib_3212-2.xmi	1857	1850	digbib	Ein Drama in Mexico	Verne, Jules	yes	Erzähltext
rwk_digbib_3213-1.xmi	1887	1880	digbib	Frritt-Flacc!	Verne, Jules	yes	Erzähltext
rwk_digbib_3216-1.xmi	1885	1880	digbib	Zehn Stunden auf der Jagd	Verne, Jules	yes	Erzähltext
rwk_digbib_3219-1.xmi	1903	1900	digbib	Die Schutzimpfung	Wedekind, Frank	yes	Erzähltext
rwk_digbib_3219-2.xmi	1903	1900	digbib	Die Schutzimpfung	Wedekind, Frank	yes	Erzähltext
rwk_digbib_3220-1.xmi	1885	1880	digbib	Das Riechbüchschen	Wildenbruch, Ernst von	yes	Erzähltext
rwk_digbib_3220-2.xmi	1885	1880	digbib	Das Riechbüchschen	Wildenbruch, Ernst von	yes	Erzähltext
rwk_digbib_3230-1.xmi	1847	1840	digbib	2. Der Engländer	Wildermuth, Ottilie	yes	Erzähltext
