filename	author	title	year	decade
rwz_fi_digbib_2652.tsv	Riehl, Wilhelm Heinrich von	Die Werke der Barmherzigkeit	1862	1860
rwz_fi_digbib_2653.tsv	Riehl, Wilhelm Heinrich von	Gräfin Ursula	1862	1860
rwz_fi_digbib_2655.tsv	Riehl, Wilhelm Heinrich von	Meister Martin Hildebrand	1862	1860
rwz_fi_digbib_2656.tsv	Riehl, Wilhelm Heinrich von	Ovid bei Hofe	1862	1860
rwz_fi_digbib_2661.tsv	Rosegger, Peter	Ein Letztes vom alten Meister Naz	1877	1870
rwz_fi_digbib_2801.tsv	Saar, Ferdinand von	Die Pfründer	1906	1900
rwz_fi_digbib_2806.tsv	Saar, Ferdinand von	Geschichte eines Wienerkindes	1877	1870
rwz_fi_digbib_2808.tsv	Saar, Ferdinand von	Herr Fridolin und sein Glück	1877	1870
rwz_fi_digbib_2996.tsv	Schnitzler, Arthur	Casanovas Heimfahrt	1918	1910
rwz_fi_digbib_2998.tsv	Schnitzler, Arthur	Das Schicksal des Freiherrn von Leisenbohg	1904	1900
rwz_fi_digbib_3001.tsv	Schnitzler, Arthur	Der blinde Geronimo und sein Bruder	1900	1900
rwz_fi_digbib_3002.tsv	Schnitzler, Arthur	Der Ehrentag	1897	1890
rwz_fi_digbib_3016.tsv	Schnitzler, Arthur	Die Toten schweigen	1897	1890
rwz_fi_digbib_3018.tsv	Schnitzler, Arthur	Doktor Gräsler, Badearzt	1917	1910
rwz_fi_digbib_3019.tsv	Schnitzler, Arthur	Ein Abschied	1896	1890
rwz_fi_digbib_3022.tsv	Schnitzler, Arthur	Frau Beate und ihr Sohn	1913	1910
rwz_fi_digbib_3028.tsv	Schnitzler, Arthur	Reichtum	1891	1890
rwz_fi_digbib_3029.tsv	Schnitzler, Arthur	Sterben	1894	1890
rwz_fi_digbib_3140.tsv	Storm, Theodor	Bötjer Basch	1886	1880
rwz_fi_digbib_3155.tsv	Storm, Theodor	Ein Doppelgänger	1886	1880
rwz_fi_digbib_3159.tsv	Storm, Theodor	Hans und Heinz Kirch	1882	1880
rwz_fi_digbib_3167.tsv	Storm, Theodor	John Riew'	1885	1880
rwz_fi_digbib_3169.tsv	Storm, Theodor	Pole Poppenspaeler	1874	1870
rwz_fi_digbib_3170.tsv	Storm, Theodor	Psyche	1875	1870
rwz_fi_digbib_3172.tsv	Storm, Theodor	Schweigen	1883	1880
rwz_fi_digbib_3175.tsv	Storm, Theodor	Viola tricolor	1874	1870
rwz_fi_digbib_3176.tsv	Storm, Theodor	Waldwinkel	1874	1870
rwz_fi_digbib_3177.tsv	Storm, Theodor	Zur Chronik von Gieshuus	1884	1880
rwz_fi_digbib_3178.tsv	Storm, Theodor	Zur Wald- und Wasserfreude	1879	1870
rwz_fi_digbib_3180.tsv	Sudermann, Hermann	Die Magd	1917	1910
rwz_fi_digbib_3181.tsv	Sudermann, Hermann	Die Reise nach Tilsit	1917	1910
rwz_fi_digbib_3183.tsv	Sudermann, Hermann	Miks Bumbullis	1917	1910
rwz_fi_digbib_3188.tsv	Turgenev, Ivan Sergeeviç	Faust. Erzählung in neun Briefen	1856	1850
rwz_fi_digbib_3208.tsv	Verne, Jules	Die Blockade-Brecher	1875	1870
rwz_fi_digbib_3210.tsv	Verne, Jules	Eine Ueberwinterung im Eise	1875	1870
rwz_fi_digbib_3211.tsv	Verne, Jules	Ein Drama in den Lüften	1875	1870
rwz_fi_digbib_3213.tsv	Verne, Jules	Frritt-Flacc!	1887	1880
rwz_fi_digbib_3214.tsv	Verne, Jules	Martin Paz	1875	1870
rwz_fi_digbib_3215.tsv	Verne, Jules	Meister Zacharius	1875	1870
rwz_fi_digbib_3216.tsv	Verne, Jules	Zehn Stunden auf der Jagd	1885	1880
