file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_digbib_1202-1.tsv	mars	Hebbel,_Friedrich_Der_Rubin.tg982_1.xml	1843	1840	digbib	Der Rubin	Hebbel, Friedrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1202-2.tsv	mars	Hebbel,_Friedrich_Der_Rubin.tg982_1.xml	1843	1840	digbib	Der Rubin	Hebbel, Friedrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1204-1.tsv	mars	Hebbel,_Friedrich_Matteo.tg970_1.xml	1841	1840	digbib	Matteo	Hebbel, Friedrich	yes	Erzähltext	yes	no	third	dash chevron
rwk1_digbib_1205-2.tsv	mars	Heiseler,_Henry_von_Der_Begleiter.tg21_1.xml	1919	1910	digbib	Der Tag Anderer	Heyking, Elisabeth von	yes	Erzähltext	yes	no	third	dash none
rwk1_digbib_1205-3.tsv	mars	Heiseler,_Henry_von_Der_Begleiter.tg21_1.xml	1919	1910	digbib	Über einen Hund und die Monroe-Doktrin	Heyking, Elisabeth von	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1211-1.tsv	mars	Heym,_Georg_Der_Dieb.tg152_1.xml	1913	1910	digbib	Der Dieb	Heym, Georg	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1211-2.tsv	mars	Heym,_Georg_Der_Dieb.tg152_1.xml	1913	1910	digbib	Der Dieb	Heym, Georg	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1217-1.tsv	mars	Heyse,_Paul_Andrea_Delfin.tg565_1.xml	1862	1860	digbib	Andrea Delfin	Heyse, Paul	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1217-2.tsv	mars	Heyse,_Paul_Andrea_Delfin.tg565_1.xml	1862	1860	digbib	Andrea Delfin	Heyse, Paul	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1217-3.tsv	mars	Heyse,_Paul_Andrea_Delfin.tg565_1.xml	1862	1860	digbib	Andrea Delfin	Heyse, Paul	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1218-1.tsv	mars	Heyse,_Paul_L__Arrabbiata.tg564_1.xml	1855	1850	digbib	L'Arrabbiata	Heyse, Paul	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1220-2.tsv	mars	Hofmannsthal,_Hugo_von_Die_Frau_ohne_Schatten.tg364_1.xml	1919	1910	digbib	Die Frau ohne Schatten	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1221-2.tsv	mars	Hofmannsthal,_Hugo_von_Erlebnis_des_Marschalls_von_Bassompierre.tg362_1.xml	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1221-3.tsv	mars	Hofmannsthal,_Hugo_von_Erlebnis_des_Marschalls_von_Bassompierre.tg362_1.xml	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1223-1.tsv	mars	Hofmannsthal,_Hugo_von_Reitergeschichte.tg361_1.xml	1899	1890	digbib	Reitergeschichte	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1223-3.tsv	mars	Hofmannsthal,_Hugo_von_Reitergeschichte.tg361_1.xml	1899	1890	digbib	Reitergeschichte	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1225-1.tsv	mars	Holz,_Arno_Ein_Tod.tg457_1.xml	1889	1880	digbib	Ein Tod	Holz, Arno	yes	Erzähltext	yes	no	third	chevron
