file	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	cabtokens	dialect	perspective	quotes
rwk_digbib_3012-1.tsv	Schnitzler,_Arthur_Die_griechische_Taenzerin.tg288_1.xml	1902	1900	digbib	Die griechische Tänzerin	Schnitzler, Arthur	yes	Erzähltext	yes	594	no	first	undef
rwk_digbib_3015-1.tsv	Schnitzler,_Arthur_Die_kleine_Komoedie.tg250_1.xml	1895	1890	digbib	Die kleine Komödie	Schnitzler, Arthur	yes	Erzähltext	yes	767	no	first	chevron
rwk_digbib_3020-1.tsv	Schnitzler,_Arthur_Er_wartet_auf_den_vazierenden_Gott.tg231_1.xml	1886	1880	digbib	Er wartet auf den vazierenden Gott	Schnitzler, Arthur	yes	Erzähltext	yes	642	no	first	none
rwk_digbib_3021-1.tsv	Schnitzler,_Arthur_Exzentrik.tg287_1.xml	1902	1900	digbib	Exzentrik	Schnitzler, Arthur	yes	Erzähltext	yes	650	no	first	chevron
rwk_digbib_3027-1.tsv	Schnitzler,_Arthur_Mein_Freund_Ypsilon.tg235_1.xml	1889	1880	digbib	Mein Freund Ypsilon	Schnitzler, Arthur	yes	Erzähltext	yes	623	no	first	chevron
rwk_digbib_3027-2.tsv	Schnitzler,_Arthur_Mein_Freund_Ypsilon.tg235_1.xml	1889	1880	digbib	Mein Freund Ypsilon	Schnitzler, Arthur	yes	Erzähltext	yes	663	no	first	chevron
rwk_digbib_3125-1.tsv	Stifter,_Adalbert_Der_Kuss_von_Sentze.tg144_1.xml	1866	1860	digbib	Der Kuß von Sentze	Stifter, Adalbert	yes	Erzähltext	yes	590	no	first	chevron
rwk_digbib_3126-1.tsv	Stifter,_Adalbert_Der_Waldbrunnen.tg143_1.xml	1866	1860	digbib	Der Waldbrunnen	Stifter, Adalbert	yes	Erzähltext	yes	595	no	first	undef
rwk_digbib_3130-1.tsv	Stifter,_Adalbert_Kalkstein.tg137_1.xml	1848	1840	digbib	Kalkstein	Stifter, Adalbert	yes	Erzähltext	yes	618	no	first	undef
rwk_digbib_3130-2.tsv	Stifter,_Adalbert_Kalkstein.tg137_1.xml	1848	1840	digbib	Kalkstein	Stifter, Adalbert	yes	Erzähltext	yes	598	no	first	undef
rwk_digbib_3132-1.tsv	Stifter,_Adalbert_Nachkommenschaften.tg142_1.xml	1864	1860	digbib	Nachkommenschaften	Stifter, Adalbert	yes	Erzähltext	yes	612	no	first	chevron
rwk_digbib_3132-2.tsv	Stifter,_Adalbert_Nachkommenschaften.tg142_1.xml	1864	1860	digbib	Nachkommenschaften	Stifter, Adalbert	yes	Erzähltext	yes	645	no	first	chevron
rwk_digbib_3136-1.tsv	Storm,_Theodor_Aquis_Submersus.tg242_1.xml	1876	1870	digbib	Aquis Submersus	Storm, Theodor	yes	Erzähltext	yes	610	no	first	chevron
rwk_digbib_3137-1.tsv	Storm,_Theodor_Auf_dem_Staatshof.tg211_1.xml	1859	1850	digbib	Auf dem Staatshof	Storm, Theodor	yes	Erzähltext	yes	595	no	first	chevron
rwk_digbib_3153-1.tsv	Storm,_Theodor_Eine_Malerarbeit.tg231_1.xml	1867	1860	digbib	Eine Malerarbeit	Storm, Theodor	yes	Erzähltext	yes	630	no	first	chevron
